df_1,df_2,df_3,df_4,df_5,df_6,df_7,df_8,df_9,df_10,df_11,df_12,df_13
103.47000122070312,,,,,,,,,,,,
103.38999938964844,,,,,,,,,,,,
103.6500015258789,,,,,,,,,,,,
104.16000366210938,,,,,,,,,,,,
104.86000061035156,,,,,,,,,,,,
105.08000183105469,,,,,,,,,,,,
105.27999877929688,,,,,,,,,,,,
106.18000030517578,,,,,,,,,,,,
107.94000244140625,,,,,,,,,,,,
108.37999725341797,,,,,,,,,,,,
107.91999816894531,,,,,,,,,,,,
107.5199966430664,,,,,,,,,,,,
107.19999694824219,,,,,,,,,,,,
109.62000274658203,,,,,,,,,,,,
109.83999633789062,,,,,,,,,,,,
108.88999938964844,,,,,,,,,,,,
107.66999816894531,,,,,,,,,,,,
106.62999725341797,,,,,,,,,,,,
106.37999725341797,,,,,,,,,,,,
108.9800033569336,,,,,,,,,,,,
110.66000366210938,,,,,,,,,,,,
109.7300033569336,,,,,,,,,,,,
106.86000061035156,,,,,,,,,,,,
108.36000061035156,,,,,,,,,,,,
108.2699966430664,,,,,,,,,,,,
107.13999938964844,,,,,,,,,,,,
108.69000244140625,,,,,,,,,,,,
106.80000305175781,,,,,,,,,,,,
106.66000366210938,,,,,,,,,,,,
107.37999725341797,,,,,,,,,,,,
110.43000030517578,,,,,,,,,,,,
111.94999694824219,,,,,,,,,,,,
111.76000213623047,,,,,,,,,,,,
110.66999816894531,,,,,,,,,,,,
111.51000213623047,,,,,,,,,,,,
110.1500015258789,,,,,,,,,,,,
108.80999755859375,,,,,,,,,,,,
108.5199966430664,,,,,,,,,,,,
110.55000305175781,,,,,,,,,,,,
109.62000274658203,,,,,,,,,,,,
107.91999816894531,,,,,,,,,,,,
109.23999786376953,,,,,,,,,,,,
110.62000274658203,,,,,,,,,,,,
114.22000122070312,,,,,,,,,,,,
113.7300033569336,,,,,,,,,,,,
115.48999786376953,,,,,,,,,,,,
117.2699966430664,,,,,,,,,,,,
117.37999725341797,,,,,,,,,,,,
118.86000061035156,,,,,,,,,,,,
118.26000213623047,,,,,,,,,,,,
115.83000183105469,,,,,,,,,,,,
118.05000305175781,,,,,,,,,,,,
0.0,,,,,,,0.0,,,,,
